_id,YEAR,SECTION,AIRLINE_CODE,AIRLINE_NAME,SERVICES_DEP,SERVICES_ARR,PASSENGER_EMBARKED,PASSENGER_DISEMBARKED,PASSENGER_TERMINAL,PASSENGER_TRANSIT,PASSENGER_TOTAL,CARGO_LOADED,CARGO_UNLOADED,CARGO_TERMINAL,CARGO_TRANSIT,CARGO_TOTAL,MAIL_LOADED,MAIL_UNLOADED,MAIL_TERMINAL,MAIL_TRANSIT,MAIL_TOTAL
338,2017-2018,International,SVA,SAUDI ARABIAN,2952,2952,700833,845673,1546506,0,1546506,13786,743,14529,0,14529,0,10794,10794,0,10794
339,2017-2018,International,TBN,TABAN AIRLINE,39,39,5016,4922,9938,0,9938,0,0,0,0,0,0,0,0,0,0
340,2017-2018,International,THA,THAI AIRWAYS,988,988,200226,198932,399158,18391,417549,11541,11287,22828,881,23710,163,145,308,53,361
341,2017-2018,International,THY,TURKISH,1094,1094,238348,241336,479684,0,479684,14021,6674,20695,0,20695,0,148,149,0,149
342,2017-2018,International,UAE,EMIRATES,3622,3622,1117206,1136824,2254030,0,2254030,48466,12999,61466,0,61466,14,288,303,0,303
343,2017-2018,International,UZB,UZBEKISTAN,83,83,8711,7363,16074,0,16074,140,13,153,0,153,0,0,0,0,0
344,2018-2019,Domestic,ABQ,AIR BLUE,1991,1991,314485,314485,628970,0,628970,2070,2070,4140,0,4140,0,0,0,0,0
345,2018-2019,Domestic,PIA,PAKISTAN INT',18466,18466,1795256,1795256,3590512,14845,3605357,8497,8497,16995,0,16995,67,67,133,0,133
346,2018-2019,Domestic,SAI,SHAHEEN AIR,155,155,16656,16656,33312,0,33312,161,161,321,0,321,0,0,0,0,0
347,2018-2019,Domestic,SEP,SERENE AIR,5686,5686,875536,875536,1751072,0,1751072,7996,7996,15992,0,15992,0,0,0,0,0
348,2018-2019,International,ABQ,AIR BLUE,3355,3342,618110,602191,1220301,0,1220301,2167,13,2180,0,2180,0,0,0,0,0
349,2018-2019,International,ABY,AIR ARABIA,3099,3099,459389,464956,924345,0,924345,6967,6,6973,0,6973,0,0,0,0,0
350,2018-2019,International,AHY,AZERBAIJAN,2,2,10,6,16,0,16,0,0,0,0,0,0,0,0,0,0
351,2018-2019,International,ALK,SRILANKAN,298,298,36894,36668,73562,0,73562,735,468,1203,0,1203,0,0,0,0,0
352,2018-2019,International,BAW,BRITISH,14,14,2240,2720,4960,0,4960,15,21,36,0,36,0,0,0,0,0
353,2018-2019,International,CCA,AIR CHINA,501,501,45445,63938,109383,0,109383,1695,7473,9168,0,9168,0,36,36,0,36
354,2018-2019,International,CSN,CHINA,429,429,46494,53446,99940,0,99940,70,268,339,0,339,0,0,0,0,0
355,2018-2019,International,DHX,DHL AVIATION,389,389,0,0,0,0,0,10486,289,10775,0,10775,0,0,0,0,0
356,2018-2019,International,ETD,ETIHAD AIRWAYS,1852,1852,301062,329012,630074,0,630074,6168,1687,7854,0,7854,133,139,272,0,272
357,2018-2019,International,FDB,FLY DUBAI,3472,3472,552569,510636,1063205,613,1063818,6519,224,6743,0,6743,0,0,0,0,0
358,2018-2019,International,GFA,GULF AIR,1732,1732,272168,278702,550870,0,550870,7621,1533,9154,0,9154,51,55,107,0,107
359,2018-2019,International,IAW,IRAQI AIRWAYS,94,94,8396,9747,18143,0,18143,0,0,1,0,1,0,0,0,0,0
360,2018-2019,International,IRA,IRAN AIR,53,53,8384,8927,17311,0,17311,2,21,24,0,24,170,0,170,0,170
361,2018-2019,International,IRM,MAHAN AIR,203,203,32098,20860,52958,0,52958,2,68,70,0,70,0,0,0,0,0
362,2018-2019,International,JZR,JAZEERA,147,147,18754,20975,39729,0,39729,425,3,428,0,428,0,0,0,0,0
363,2018-2019,International,KAC,KUWAIT AIRWAYS,359,359,47200,46594,93794,0,93794,2788,46,2834,0,2834,0,7,8,0,8
364,2018-2019,International,KIS,KISH AIR,4,4,444,311,755,0,755,0,0,0,0,0,0,0,0,0,0
365,2018-2019,International,KMF,KAM AIR,132,132,7149,8799,15948,0,15948,4,0,4,0,4,0,0,0,0,0
366,2018-2019,International,KNE,FLY NAS,650,650,74788,80710,155498,0,155498,922,5,928,0,928,0,0,0,0,0
367,2018-2019,International,MXD,MALINDO AIR,206,206,25806,24536,50342,0,50342,0,14,14,0,14,0,0,0,0,0
368,2018-2019,International,OMA,OMAN AIR,1520,1520,235765,237071,472836,0,472836,5006,1210,6217,0,6217,0,0,0,0,0
369,2018-2019,International,OMS,SALAM AIR,460,461,71271,66633,137904,0,137904,186,3,188,0,188,0,0,0,0,0
370,2018-2019,International,PIA,PAKISTAN INT',8656,8348,1692977,1604350,3297327,24098,3321425,16505,6016,22521,0,22521,96,23,119,0,119
371,2018-2019,International,QTR,QATAR AIRWAYS,2978,2978,559703,541013,1100716,0,1100716,31733,19042,50775,0,50775,1,172,174,0,174
372,2018-2019,International,SAI,SHAHEEN AIR,164,154,14761,28787,43548,0,43548,116,21,137,0,137,0,0,0,0,0
373,2018-2019,International,SGQ,SAUDIA GULF,467,467,62106,60856,122962,0,122962,0,0,0,0,0,0,0,0,0,0
374,2018-2019,International,SVA,SAUDI ARABIAN,3487,3487,1012680,1165402,2178082,0,2178082,19341,756,20097,0,20097,2429,19835,22265,0,22265
375,2018-2019,International,TBN,TABAN AIRLINE,15,15,1774,1834,3608,0,3608,0,0,0,0,0,0,0,0,0,0
376,2018-2019,International,THA,THAI AIRWAYS,774,774,168686,176625,345311,14847,360158,8589,8312,16900,592,17492,291,135,426,96,522
377,2018-2019,International,THY,TURKISH,1080,1080,250606,251103,501709,0,501709,13762,7034,20795,0,20795,1,128,129,0,129
378,2018-2019,International,UAE,EMIRATES,3415,3416,1140336,1180292,2320628,0,2320628,59119,15771,74890,0,74890,44,411,456,0,456
379,2018-2019,International,UZB,UZBEKISTAN,98,98,10751,9839,20590,0,20590,157,2,160,0,160,0,0,0,0,0
380,2019-2020,Domestic,ABQ,AIR BLUE,1337,1337,141307,141307,282614,0,282614,0,0,0,0,0,0,0,0,0,0
381,2019-2020,Domestic,PIA,PAKISTAN INT',13063,13063,1272249,1272249,2544498,8656,2553154,6767,6767,13534,0,13534,55,55,110,0,110
382,2019-2020,Domestic,SEP,SERENE AIR,4449,4449,697922,697922,1395844,0,1395844,5822,5822,11645,0,11645,0,0,0,0,0
383,2019-2020,International,ABQ,AIR BLUE,2577,2586,467146,409032,876178,0,876178,0,0,0,0,0,0,0,0,0,0
384,2019-2020,International,ABY,AIR ARABIA,2310,2310,336098,318782,654880,0,654880,6055,17,6072,0,6072,0,0,0,0,0
385,2019-2020,International,AHY,AZERBAIJAN,15,15,5,3,8,0,8,507,0,507,0,507,0,0,0,0,0
386,2019-2020,International,ALK,SRILANKAN,317,317,35870,36625,72495,0,72495,813,787,1600,0,1600,0,0,0,0,0
387,2019-2020,International,BAW,BRITISH,115,115,22194,22002,44196,0,44196,996,71,1067,0,1067,0,0,0,0,0
388,2019-2020,International,CCA,AIR CHINA,458,458,38109,40702,78811,0,78811,1551,1053,2604,0,2604,0,3,3,0,3
389,2019-2020,International,CSN,CHINA,289,289,24873,35175,60048,0,60048,48,338,386,0,386,0,0,0,0,0
390,2019-2020,International,DHX,DHL AVIATION,410,410,0,0,0,0,0,11638,2197,13835,0,13835,0,0,0,0,0
391,2019-2020,International,ETD,ETIHAD AIRWAYS,1209,1209,215259,189975,405234,0,405234,5666,1149,6814,0,6814,28,45,73,0,73
392,2019-2020,International,FDB,FLY DUBAI,1812,1812,274046,243662,517708,157,517865,3087,148,3235,0,3235,0,0,0,0,0
393,2019-2020,International,GFA,GULF AIR,1281,1281,183640,185056,368696,0,368696,6656,652,7308,0,7308,33,57,91,0,91
394,2019-2020,International,IAW,IRAQI AIRWAYS,95,95,9836,11759,21595,0,21595,2,0,2,0,2,0,0,0,0,0
395,2019-2020,International,IRA,IRAN AIR,35,35,5095,5911,11006,0,11006,1,4,5,0,5,1,1,1,0,1
396,2019-2020,International,IRM,MAHAN AIR,136,136,23066,14817,37883,0,37883,0,36,36,0,36,0,0,0,0,0
397,2019-2020,International,JZR,JAZEERA,163,163,17819,15837,33656,0,33656,719,8,726,0,726,0,0,0,0,0
398,2019-2020,International,KAC,KUWAIT AIRWAYS,325,325,34351,35432,69783,0,69783,4982,29,5012,0,5012,0,14,14,0,14
399,2019-2020,International,KMF,KAM AIR,109,109,4633,5192,9825,0,9825,0,0,0,0,0,0,0,0,0,0
400,2019-2020,International,KNE,FLY NAS,505,505,66542,59194,125736,0,125736,815,7,822,0,822,0,0,0,0,0
401,2019-2020,International,MXD,MALINDO AIR,184,184,23138,20814,43952,0,43952,0,19,19,0,19,0,0,0,0,0
402,2019-2020,International,OMA,OMAN AIR,936,936,154433,147477,301910,0,301910,4269,741,5010,0,5010,0,0,0,0,0
403,2019-2020,International,OMS,SALAM AIR,356,356,54775,53509,108284,0,108284,38,0,38,0,38,0,0,0,0,0
404,2019-2020,International,PIA,PAKISTAN INT',7898,7655,1493404,1463826,2957230,21517,2978747,20153,2859,23012,0,23012,98,11,109,0,109
405,2019-2020,International,QTR,QATAR AIRWAYS,2535,2535,420990,410567,831557,0,831557,26148,14220,40368,0,40368,4,240,244,0,244
406,2019-2020,International,SGQ,SAUDIA GULF,378,378,50795,24476,75271,0,75271,0,0,0,0,0,0,0,0,0,0
407,2019-2020,International,SVA,SAUDI ARABIAN,2448,2448,621903,671267,1293170,0,1293170,21095,469,21564,0,21564,954,7273,8227,0,8227
408,2019-2020,International,TBN,TABAN AIRLINE,22,22,1982,2684,4666,0,4666,0,0,0,0,0,0,0,0,0,0
409,2019-2020,International,THA,THAI AIRWAYS,746,746,151733,7970,159703,0,159703,7899,0,7899,0,7899,0,0,0,0,0
410,2019-2020,International,THY,TURKISH,801,801,185555,189992,375547,0,375547,10007,4560,14567,0,14567,0,102,102,0,102
