_id,YEAR,SECTION,AIRLINE_CODE,AIRLINE_NAME,SERVICES_DEP,SERVICES_ARR,PASSENGER_EMBARKED,PASSENGER_DISEMBARKED,PASSENGER_TERMINAL,PASSENGER_TRANSIT,PASSENGER_TOTAL,CARGO_LOADED,CARGO_UNLOADED,CARGO_TERMINAL,CARGO_TRANSIT,CARGO_TOTAL,MAIL_LOADED,MAIL_UNLOADED,MAIL_TERMINAL,MAIL_TRANSIT,MAIL_TOTAL
489,2022-2023,Domestic,SEP,SERENE AIR,1501,1501,238848,238848,477696,0,477696,2906,2906,5811,0,5811,0,0,0,0,0
490,2022-2023,Domestic,SIF,AIR SIAL,3629,3629,633417,633417,1266834,0,1266834,4208,4208,8416,0,8416,0,0,0,0,0
491,2022-2023,International,ABQ,AIR BLUE,3654,3655,731962,676861,1408823,0,1408823,0,0,0,0,0,0,0,0,0,0
492,2022-2023,International,ABY,AIR ARABIA,3076,3076,429443,395208,824651,0,824651,8395,45,8440,0,8440,231,0,231,0,231
493,2022-2023,International,ADY,AIR ARABIA ABU,206,206,27525,28243,55768,0,55768,220,0,220,0,220,0,0,0,0,0
494,2022-2023,International,AFG,ARIANA AFGHAN,2,2,118,26,144,0,144,0,0,0,0,0,0,0,0,0,0
495,2022-2023,International,ALK,SRILANKAN,352,352,49394,42454,91848,0,91848,2337,3095,5432,0,5432,0,0,0,0,0
496,2022-2023,International,BAW,BRITISH,141,141,27085,24325,51410,0,51410,1100,124,1224,0,1224,0,0,0,0,0
497,2022-2023,International,CCA,AIR CHINA,131,131,9873,8545,18418,0,18418,268,652,920,0,920,0,1,1,0,1
498,2022-2023,International,CSN,CHINA,134,134,16571,13526,30097,0,30097,151,1250,1401,0,1401,0,0,0,0,0
499,2022-2023,International,DHX,DHL AVIATION,476,476,0,0,0,0,0,21300,1617,22917,0,22917,0,0,0,0,0
500,2022-2023,International,ETD,ETIHAD AIRWAYS,1582,1582,268633,270825,539458,0,539458,4647,1300,5947,0,5947,105,45,150,0,150
501,2022-2023,International,ETH,ETHIOPIAN,23,22,1411,1769,3180,0,3180,32,0,32,0,32,0,0,0,0,0
502,2022-2023,International,FBA,FLY BAGHDAD,221,221,28291,23663,51954,0,51954,0,0,0,0,0,0,0,0,0,0
503,2022-2023,International,FDB,FLY DUBAI,3728,3728,573787,456905,1030692,0,1030692,3845,153,3998,0,3998,0,0,0,0,0
504,2022-2023,International,GFA,GULF AIR,1785,1784,242646,192907,435553,0,435553,6158,754,6912,0,6912,0,3,3,0,3
505,2022-2023,International,IAW,IRAQI AIRWAYS,107,107,9585,10272,19857,0,19857,0,0,0,0,0,0,0,0,0,0
506,2022-2023,International,IRA,IRAN AIR,53,53,5258,6274,11532,0,11532,1,2,4,0,4,0,1,1,0,1
507,2022-2023,International,IRM,MAHAN AIR,102,102,11789,12088,23877,0,23877,346,3,349,0,349,0,0,0,0,0
508,2022-2023,International,JZR,JAZEERA,223,223,26989,25281,52270,0,52270,720,46,766,0,766,0,0,0,0,0
509,2022-2023,International,KAC,KUWAIT AIRWAYS,347,347,42177,36760,78937,0,78937,1663,22,1685,0,1685,0,0,0,0,0
510,2022-2023,International,KIS,KISH AIR,7,7,501,609,1110,0,1110,0,0,0,0,0,0,0,0,0,0
511,2022-2023,International,KMF,KAM AIR,231,231,12777,18657,31434,0,31434,0,0,0,0,0,0,0,0,0,0
512,2022-2023,International,KNE,FLY NAS,703,703,106961,88064,195025,0,195025,918,16,934,0,934,0,0,0,0,0
513,2022-2023,International,MXD,MALINDO AIR,361,361,53768,31669,85437,0,85437,0,0,0,0,0,0,0,0,0,0
514,2022-2023,International,OMA,OMAN AIR,747,747,109766,95210,204976,0,204976,3093,471,3564,0,3564,0,0,0,0,0
515,2022-2023,International,OMS,SALAM AIR,477,477,82888,63804,146692,0,146692,819,0,819,0,819,0,0,0,0,0
516,2022-2023,International,PGT,PEGASUS,208,208,30364,27728,58092,0,58092,213,54,267,0,267,0,0,0,0,0
517,2022-2023,International,PIA,PAKISTAN INT',9340,9141,1847409,1630607,3478016,16816,3494832,26257,2357,28614,0,28614,70,11,81,0,81
518,2022-2023,International,QTR,QATAR AIRWAYS,3340,3341,717265,670187,1387452,0,1387452,26838,9160,35998,0,35998,140,198,338,0,338
519,2022-2023,International,SAW,CHAMWING,16,16,2163,1708,3871,0,3871,0,0,0,0,0,0,0,0,0,0
520,2022-2023,International,SEP,SERENE AIR,1774,1778,423322,351890,775212,0,775212,4246,11,4257,0,4257,0,0,0,0,0
521,2022-2023,International,SIF,AIR SIAL,116,116,18115,15016,33131,0,33131,2,0,2,0,2,0,0,0,0,0
522,2022-2023,International,SVA,SAUDI ARABIAN,2843,2841,872970,828020,1700990,0,1700990,18260,1025,19285,0,19285,0,90,90,0,90
523,2022-2023,International,TBN,TABAN AIRLINE,31,31,3824,3749,7573,0,7573,0,0,0,0,0,0,0,0,0,0
524,2022-2023,International,THA,THAI AIRWAYS,696,696,161991,127156,289147,0,289147,8377,3729,12106,0,12106,177,12,189,0,189
525,2022-2023,International,THY,TURKISH,1055,1057,265783,240309,506092,0,506092,9892,5142,15034,0,15034,0,125,125,0,125
526,2022-2023,International,UAE,EMIRATES,2693,2693,847888,778178,1626066,0,1626066,40726,9980,50706,0,50706,21,291,312,0,312
527,2022-2023,International,UZB,UZBEKISTAN,4,4,291,566,857,0,857,10,0,10,0,10,0,0,0,0,0
528,2022-2023,International,VIR,VIRGIN ATLANTIC,378,378,84179,82374,166553,0,166553,3666,1476,5143,0,5143,0,18,18,0,18
529,2023-2024,Domestic,ABQ,AIR BLUE,2243,2243,382104,382104,764208,0,764208,0,0,0,0,0,0,0,0,0,0
530,2023-2024,Domestic,FJL,FLY JINNAH,5952,5952,932999,932999,1865998,0,1865998,4827,4827,9653,0,9653,0,0,0,0,0
531,2023-2024,Domestic,PIA,PAKISTAN INT',7536,7536,824870,824870,1649740,1544,1651284,5428,5428,10855,0,10855,23,23,46,0,46
532,2023-2024,Domestic,SEP,SERENE AIR,1689,1689,292355,292355,584710,0,584710,3693,3693,7387,0,7387,0,0,0,0,0
533,2023-2024,Domestic,SIF,AIR SIAL,2332,2332,406815,406815,813630,0,813630,3050,3050,6099,0,6099,0,0,0,0,0
534,2023-2024,International,ABQ,AIR BLUE,4023,4029,757154,720305,1477459,0,1477459,0,0,0,0,0,0,0,0,0,0
535,2023-2024,International,ABY,AIR ARABIA,3099,3099,477629,418845,896474,0,896474,7720,13,7734,0,7734,0,0,0,0,0
536,2023-2024,International,ADY,AIR ARABIA ABU,210,210,30755,28945,59700,0,59700,297,0,297,0,297,0,0,0,0,0
537,2023-2024,International,AFG,ARIANA AFGHAN,5,5,369,286,655,0,655,0,0,0,0,0,0,0,0,0,0
538,2023-2024,International,AHY,AZERBAIJAN,172,172,13908,10797,24705,0,24705,105,0,105,0,105,0,0,0,0,0
539,2023-2024,International,ALK,SRILANKAN,365,365,47801,41883,89684,0,89684,2406,2800,5206,0,5206,0,10,10,0,10
540,2023-2024,International,ANK,AERO NOMAD,90,90,8822,12141,20963,0,20963,0,0,0,0,0,0,0,0,0,0
541,2023-2024,International,BAW,BRITISH,157,157,31643,30149,61792,0,61792,1245,191,1435,0,1435,0,0,0,0,0
542,2023-2024,International,CCA,AIR CHINA,320,320,21983,21546,43529,0,43529,1272,1858,3131,0,3131,0,1,1,0,1
543,2023-2024,International,CSN,CHINA,350,350,37432,34108,71540,0,71540,54,1437,1491,0,1491,0,0,0,0,0
544,2023-2024,International,DHX,DHL AVIATION,525,525,0,0,0,0,0,24905,1305,26210,0,26210,0,0,0,0,0
545,2023-2024,International,ETD,ETIHAD AIRWAYS,1930,1931,317137,299213,616350,0,616350,1736,255,1991,0,1991,223,38,261,0,261
546,2023-2024,International,ETH,ETHIOPIAN,203,204,20559,12631,33190,0,33190,295,1,296,0,296,0,4,4,0,4
547,2023-2024,International,FBA,FLY BAGHDAD,121,121,13784,11686,25470,0,25470,0,0,0,0,0,0,0,0,0,0
548,2023-2024,International,FDB,FLY DUBAI,3942,3942,655448,533590,1189038,0,1189038,4223,92,4315,0,4315,0,0,0,0,0
549,2023-2024,International,FJL,FLY JINNAH,468,468,54565,66043,120608,0,120608,1034,95,1129,0,1129,0,9,9,0,9
550,2023-2024,International,GFA,GULF AIR,1846,1846,259674,225564,485238,0,485238,4971,435,5406,0,5406,0,5,5,0,5
551,2023-2024,International,IAW,IRAQI AIRWAYS,221,221,24792,29817,54609,0,54609,2,0,2,0,2,0,0,0,0,0
552,2023-2024,International,IRA,IRAN AIR,45,45,5025,7146,12171,0,12171,24,1,25,0,25,0,0,0,0,0
553,2023-2024,International,IRM,MAHAN AIR,53,53,8357,8063,16420,0,16420,485,3,488,0,488,0,0,0,0,0
554,2023-2024,International,JZR,JAZEERA,303,304,38951,40142,79093,0,79093,929,40,969,0,969,0,0,0,0,0
555,2023-2024,International,KAC,KUWAIT AIRWAYS,417,417,49879,45592,95471,0,95471,2114,23,2137,0,2137,0,1,1,0,1
556,2023-2024,International,KMF,KAM AIR,251,251,16729,20959,37688,0,37688,0,0,0,0,0,0,0,0,0,0
557,2023-2024,International,KNE,FLY NAS,958,958,153747,144004,297751,0,297751,1559,187,1746,0,1746,0,0,0,0,0
558,2023-2024,International,MXD,MALINDO AIR,347,347,49167,42849,92016,0,92016,142,34,176,0,176,0,0,0,0,0
559,2023-2024,International,OMA,OMAN AIR,733,733,108544,90533,199077,0,199077,2635,440,3075,0,3075,0,0,0,0,0
560,2023-2024,International,OMS,SALAM AIR,754,753,132152,112929,245081,0,245081,2246,211,2457,0,2457,0,0,0,0,0
561,2023-2024,International,PGT,PEGASUS,209,209,33887,31071,64958,0,64958,178,41,218,0,218,0,0,0,0,0
562,2023-2024,International,PIA,PAKISTAN INT',9009,8470,1686417,1554363,3240780,15801,3256581,33065,1867,34932,0,34932,91,6,97,0,97
563,2023-2024,International,QTR,QATAR AIRWAYS,3385,3384,760056,719095,1479151,0,1479151,25832,13207,39039,0,39039,108,117,225,0,225
564,2023-2024,International,SAW,CHAMWING,49,49,4918,5036,9954,0,9954,0,0,0,0,0,0,0,0,0,0
565,2023-2024,International,SEP,SERENE AIR,1617,1618,341918,294849,636767,0,636767,5792,186,5978,0,5978,0,0,0,0,0
566,2023-2024,International,SIF,AIR SIAL,1584,1582,271618,254770,526388,0,526388,1001,0,1001,0,1001,0,0,0,0,0
567,2023-2024,International,SMR,SOMON AIR,1,1,52,14,66,0,66,0,0,0,0,0,0,0,0,0,0
568,2023-2024,International,SVA,SAUDI ARABIAN,3265,3272,1099720,1110828,2210548,0,2210548,23692,2244,25936,0,25936,0,47,47,0,47
569,2023-2024,International,TBN,TABAN AIRLINE,57,57,7046,6649,13695,0,13695,0,0,0,0,0,0,0,0,0,0
570,2023-2024,International,THA,THAI AIRWAYS,736,736,160996,139430,300426,0,300426,10381,11704,22086,0,22086,0,69,69,0,69
571,2023-2024,International,THY,TURKISH,1071,1071,268057,246116,514173,0,514173,12907,4659,17566,0,17566,0,56,56,0,56
572,2023-2024,International,UAE,EMIRATES,2787,2787,999664,869541,1869205,0,1869205,48249,10324,58573,0,58573,44,302,346,0,346
573,2023-2024,International,UZB,UZBEKISTAN,2,2,468,8,476,0,476,9,0,9,0,9,0,0,0,0,0
574,2023-2024,International,VIR,VIRGIN ATLANTIC,4,4,769,684,1453,0,1453,5,4,9,0,9,0,0,0,0,0
575,2023-2024,International,VSV,SCAT AIRLINES,39,39,2531,2850,5381,0,5381,0,5,5,0,5,0,0,0,0,0
